"Zeitstempel","Benutzername (auf dem Zettel)","Alter","Geschlecht","Studiengang","Fachsemester","Erfahrung mit Java","Erfahrung mit JUnit","Was ist die beste Methode, um Gleichheit zwischen zwei Integers zu überprüfen?","Welche Annotation hilft dabei, zwischen Junit 5-Tests aufzuräumen?","Gegeben sei der folgende Testcode für Javas ArrayList-Klasse. Welche der Assertions wird durchlaufen?","Welche der Junit-Assertions wird im folgenden Code die Zeile mit dem Kommentar ""// Test me"" ausführen?","Für den unten gegebenen Code wird diese JUnit-Assertion fehlschlagen:

assertEquals(2, lastIndexOf(Arrays.asList(""a"", ""b"", ""a""), ""a""));                                                                     
Wie würdest du den Code fixen, damit die Assertion wieder durchläuft?"
"2026/02/03 8:29:10 AM MEZ","VeniceDesert","20","Männlich","Bachelor Internet Computing","3",">= 3 Jahre",">= 3 Monate && < 6 Monate","assertEquals(int1, int2)","@AfterAll","assertEquals(0, list.size());","assertNull(shortest(new String[] {null, ""airplane""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
"2026/02/03 8:29:27 AM MEZ","DesertEarnest","20","Männlich","Artificial Intelligence","2",">= 3 Jahre",">= 3 Monate && < 6 Monate","assertEquals(int1, int2)","@AfterEach","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
"2026/02/03 12:22:02 PM MEZ","FridayCollege","24","Weiblich","Bachelor Informatik","5",">= 6 Monate && < 1 Jahr","< 3 Monate","assertEquals(int1, int2)","@CleanUp","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""cat""}));","Replace i=0; with i=1; in the for loop statement"
"2026/02/03 12:23:03 PM MEZ","HobbitHobbit","22","Männlich","Bachelor Informatik","7",">= 3 Jahre",">= 6 Monate && < 1 Jahr","assertEquals(int1, int2)","@AfterEach","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
"2026/02/03 12:23:06 PM MEZ","DesertTelephone","22","Weiblich","Bachelor Informatik","6",">= 3 Jahre",">= 1 Jahr && < 3 Jahre","int1 == int2","@AfterEach","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
"2026/02/03 12:23:08 PM MEZ","OwlDesert","20","Nichtbinär","Bachelor Informatik","5",">= 1 Jahr && < 3 Jahre","< 3 Monate","assertEquals(int1, int2)","@AfterEach","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
"2026/02/03 12:23:30 PM MEZ","HobbitEarnest","20","Männlich","Bachelor Informatik","5",">= 3 Jahre",">= 1 Jahr && < 3 Jahre","int1 == int2","@AfterAll","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
"2026/02/03 12:23:57 PM MEZ","FridayDesert","26","Männlich","Lehramt Informatik","5",">= 3 Jahre",">= 3 Monate && < 6 Monate","int1 == int2","@AfterEach","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
"2026/02/03 12:24:10 PM MEZ","HobbitVenice","21","Männlich","Bachelor Internet Computing","6",">= 3 Jahre",">= 1 Jahr && < 3 Jahre","assertEquals(int1, int2)","@AfterEach","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
"2026/02/03 12:24:55 PM MEZ","FridayHobbit","22","Weiblich","Bachelor Informatik","5",">= 1 Jahr && < 3 Jahre",">= 3 Monate && < 6 Monate","assertEquals(int1, int2)","@TearDown","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
"2026/02/03 12:25:04 PM MEZ","CollegeOwl","23","Weiblich","Bachelor Informatik","6",">= 6 Monate && < 1 Jahr",">= 3 Monate && < 6 Monate","int1 == int2","@AfterEach","assertEquals(0, list.size());","assertThrows(IllegalArgumentException.class, () -> { shortest(null); });","Replace -1 with 0 in the first line of the method"
"2026/02/03 12:25:20 PM MEZ","FridayFriday","21","Männlich","Bachelor Informatik","5",">= 3 Jahre",">= 3 Monate && < 6 Monate","assertEquals(int1, int2)","@AfterEach","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
"2026/02/03 12:25:43 PM MEZ","CollegeEarnest","20","Männlich","Bachelor Internet Computing","2",">= 3 Jahre","< 3 Monate","assertEquals(int1, int2)","@CleanUp","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
"2026/02/03 12:25:55 PM MEZ","HobbitCollege","24","Weiblich","Lehramt Informatik","1",">= 1 Jahr && < 3 Jahre",">= 3 Monate && < 6 Monate","assertEquals(int1, int2)","@AfterEach","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
