Experiment_type,Experiment_name,Experiment_tag,Experiment_description,Int_value
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_ANNOTATED,1482
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_DEFAULT,1483
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_DEFAULT,1486
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_FULL_SUITE,1485
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_ANNOTATED,1487
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_DEFAULT|TEST_DEFAULT,1488
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_DEFAULT|TEST_ANNOTATED_SINGLE_TEST,1489
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_DEFAULT|TEST_FULL_SUITE,1490
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_DEFAULT|TEST_FULL_SUITE_PLUS_DEFAULT,1491
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_DEFAULT|TEST_FULL_SUITE_PLUS_ANNOTATED,1492
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_RANDOM_SINGLE_METHOD|TEST_ANNOTATED_SINGLE_TEST,1494
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_DEFAULT,1496
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE,1495
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_ANNOTATED,1497
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_DEFAULT,1498
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_FULL_SUITE,1500
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_ANNOTATED_SINGLE_TEST,1499
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_FULL_SUITE_PLUS_DEFAULT,1501
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_FULL_SUITE_PLUS_ANNOTATED,1502
LLM-Arena,Pretest,0,Complex|MUTANT_ANNOTATED_FULL_CLASS|TEST_DEFAULT,1503
LLM-Arena,Pretest,0,Complex|MUTANT_ANNOTATED_FULL_CLASS|TEST_ANNOTATED_SINGLE_TEST,1504
LLM-Arena,Pretest,0,Complex|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE,1505
LLM-Arena,Pretest,0,Complex|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_DEFAULT,1506
LLM-Arena,Pretest,0,Complex|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_ANNOTATED,1507
LLM-Arena,Pretest,0,Complex|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_DEFAULT,1508
LLM-Arena,Pretest,0,Complex|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_ANNOTATED_SINGLE_TEST,1509
LLM-Arena,Pretest,0,Complex|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_DEFAULT,1511
LLM-Arena,Pretest,0,Complex|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_FULL_SUITE,1510
LLM-Arena,Pretest,0,Complex|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_ANNOTATED,1512
LLM-Arena,Pretest,0,Complex|MUTANT_DEFAULT|TEST_DEFAULT,1513
LLM-Arena,Pretest,0,Complex|MUTANT_DEFAULT|TEST_ANNOTATED_SINGLE_TEST,1514
LLM-Arena,Pretest,0,Complex|MUTANT_DEFAULT|TEST_FULL_SUITE,1515
LLM-Arena,Pretest,0,Complex|MUTANT_DEFAULT|TEST_FULL_SUITE_PLUS_ANNOTATED,1517
LLM-Arena,Pretest,0,Complex|MUTANT_DEFAULT|TEST_FULL_SUITE_PLUS_DEFAULT,1516
LLM-Arena,Pretest,0,Complex|MUTANT_RANDOM_SINGLE_METHOD|TEST_DEFAULT,1518
LLM-Arena,Pretest,0,Complex|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_DEFAULT,1521
LLM-Arena,Pretest,0,Complex|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE,1520
LLM-Arena,Pretest,0,Complex|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_ANNOTATED,1522
LLM-Arena,Pretest,0,Complex|MUTANT_RANDOM_SINGLE_METHOD|TEST_ANNOTATED_SINGLE_TEST,1519
LLM-Arena,Pretest,0,Complex|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_DEFAULT,1523
LLM-Arena,Pretest,0,Complex|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_ANNOTATED_SINGLE_TEST,1524
LLM-Arena,Pretest,0,Complex|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_FULL_SUITE,1525
LLM-Arena,Pretest,0,Complex|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_FULL_SUITE_PLUS_DEFAULT,1526
LLM-Arena,Pretest,0,Complex|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_FULL_SUITE_PLUS_ANNOTATED,1527
LLM-Arena,Pretest,0,IntHashMap|MUTANT_ANNOTATED_FULL_CLASS|TEST_DEFAULT,1528
LLM-Arena,Pretest,0,IntHashMap|MUTANT_ANNOTATED_FULL_CLASS|TEST_ANNOTATED_SINGLE_TEST,1529
LLM-Arena,Pretest,0,IntHashMap|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE,1530
LLM-Arena,Pretest,0,IntHashMap|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_DEFAULT,1531
LLM-Arena,Pretest,0,IntHashMap|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_ANNOTATED,1532
LLM-Arena,Pretest,0,IntHashMap|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_DEFAULT,1533
LLM-Arena,Pretest,0,IntHashMap|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_FULL_SUITE,1535
LLM-Arena,Pretest,0,IntHashMap|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_ANNOTATED_SINGLE_TEST,1534
LLM-Arena,Pretest,0,IntHashMap|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_DEFAULT,1536
LLM-Arena,Pretest,0,IntHashMap|MUTANT_DEFAULT|TEST_DEFAULT,1538
LLM-Arena,Pretest,0,IntHashMap|MUTANT_DEFAULT|TEST_ANNOTATED_SINGLE_TEST,1539
LLM-Arena,Pretest,0,IntHashMap|MUTANT_DEFAULT|TEST_FULL_SUITE,1540
LLM-Arena,Pretest,0,IntHashMap|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_ANNOTATED,1537
LLM-Arena,Pretest,0,IntHashMap|MUTANT_DEFAULT|TEST_FULL_SUITE_PLUS_DEFAULT,1541
LLM-Arena,Pretest,0,IntHashMap|MUTANT_DEFAULT|TEST_FULL_SUITE_PLUS_ANNOTATED,1542
LLM-Arena,Pretest,0,IntHashMap|MUTANT_RANDOM_SINGLE_METHOD|TEST_DEFAULT,1543
LLM-Arena,Pretest,0,IntHashMap|MUTANT_RANDOM_SINGLE_METHOD|TEST_ANNOTATED_SINGLE_TEST,1544
LLM-Arena,Pretest,0,IntHashMap|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_DEFAULT,1546
LLM-Arena,Pretest,0,IntHashMap|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE,1545
LLM-Arena,Pretest,0,IntHashMap|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_ANNOTATED,1547
LLM-Arena,Pretest,0,IntHashMap|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_DEFAULT,1548
LLM-Arena,Pretest,0,IntHashMap|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_ANNOTATED_SINGLE_TEST,1549
LLM-Arena,Pretest,0,IntHashMap|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_FULL_SUITE,1550
LLM-Arena,Pretest,0,IntHashMap|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_FULL_SUITE_PLUS_DEFAULT,1551
LLM-Arena,Pretest,0,IntHashMap|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_FULL_SUITE_PLUS_ANNOTATED,1552
LLM-Arena,Pretest,0,Option|MUTANT_ANNOTATED_FULL_CLASS|TEST_DEFAULT,1553
LLM-Arena,Pretest,0,Option|MUTANT_ANNOTATED_FULL_CLASS|TEST_ANNOTATED_SINGLE_TEST,1554
LLM-Arena,Pretest,0,Option|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE,1555
LLM-Arena,Pretest,0,Option|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_DEFAULT,1556
LLM-Arena,Pretest,0,Option|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_DEFAULT,1563
LLM-Arena,Pretest,0,Option|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_ANNOTATED,1565
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_ANNOTATED_SINGLE_TEST,1562
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_RANDOM_SINGLE_METHOD|TEST_DEFAULT,1561
LLM-Arena,Pretest,0,Option|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_DEFAULT,1567
LLM-Arena,Pretest,0,Option|MUTANT_DEFAULT|TEST_DEFAULT,1569
LLM-Arena,Pretest,0,Option|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_ANNOTATED_SINGLE_TEST,1564
LLM-Arena,Pretest,0,Option|MUTANT_DEFAULT|TEST_ANNOTATED_SINGLE_TEST,1570
LLM-Arena,Pretest,0,Option|MUTANT_DEFAULT|TEST_FULL_SUITE,1571
LLM-Arena,Pretest,0,Option|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_ANNOTATED,1568
LLM-Arena,Pretest,0,Option|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_FULL_SUITE,1566
LLM-Arena,Pretest,0,Option|MUTANT_DEFAULT|TEST_FULL_SUITE_PLUS_DEFAULT,1572
LLM-Arena,Pretest,0,Option|MUTANT_DEFAULT|TEST_FULL_SUITE_PLUS_ANNOTATED,1573
LLM-Arena,Pretest,0,Option|MUTANT_RANDOM_SINGLE_METHOD|TEST_DEFAULT,1574
LLM-Arena,Pretest,0,Option|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE,1576
LLM-Arena,Pretest,0,Option|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_DEFAULT,1577
LLM-Arena,Pretest,0,Option|MUTANT_RANDOM_SINGLE_METHOD|TEST_ANNOTATED_SINGLE_TEST,1575
LLM-Arena,Pretest,0,Option|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_ANNOTATED,1578
LLM-Arena,Pretest,0,Option|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_DEFAULT,1579
LLM-Arena,Pretest,0,Option|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_ANNOTATED_SINGLE_TEST,1580
LLM-Arena,Pretest,0,Option|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_FULL_SUITE,1581
LLM-Arena,Pretest,0,Option|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_FULL_SUITE_PLUS_DEFAULT,1582
LLM-Arena,Pretest,0,Option|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_FULL_SUITE_PLUS_ANNOTATED,1583
LLM-Arena,Pretest,0,CTEs|MUTANT_ANNOTATED_FULL_CLASS|TEST_DEFAULT,1584
LLM-Arena,Pretest,0,CTEs|MUTANT_ANNOTATED_FULL_CLASS|TEST_ANNOTATED_SINGLE_TEST,1585
LLM-Arena,Pretest,0,CTEs|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE,1586
LLM-Arena,Pretest,0,CTEs|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_DEFAULT,1587
LLM-Arena,Pretest,0,CTEs|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_ANNOTATED,1588
LLM-Arena,Pretest,0,CTEs|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_DEFAULT,1589
LLM-Arena,Pretest,0,CTEs|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_ANNOTATED_SINGLE_TEST,1590
LLM-Arena,Pretest,0,CTEs|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_DEFAULT,1592
LLM-Arena,Pretest,0,CTEs|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_FULL_SUITE,1591
LLM-Arena,Pretest,0,CTEs|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_ANNOTATED,1593
LLM-Arena,Pretest,0,CTEs|MUTANT_DEFAULT|TEST_DEFAULT,1594
LLM-Arena,Pretest,0,CTEs|MUTANT_DEFAULT|TEST_ANNOTATED_SINGLE_TEST,1595
LLM-Arena,Pretest,0,CTEs|MUTANT_DEFAULT|TEST_FULL_SUITE,1596
LLM-Arena,Pretest,0,CTEs|MUTANT_DEFAULT|TEST_FULL_SUITE_PLUS_DEFAULT,1597
LLM-Arena,Pretest,0,CTEs|MUTANT_DEFAULT|TEST_FULL_SUITE_PLUS_ANNOTATED,1598
LLM-Arena,Pretest,0,CTEs|MUTANT_RANDOM_SINGLE_METHOD|TEST_DEFAULT,1599
LLM-Arena,Pretest,0,CTEs|MUTANT_RANDOM_SINGLE_METHOD|TEST_ANNOTATED_SINGLE_TEST,1600
LLM-Arena,Pretest,0,CTEs|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_DEFAULT,1602
LLM-Arena,Pretest,0,CTEs|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE,1601
LLM-Arena,Pretest,0,CTEs|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_ANNOTATED,1603
LLM-Arena,Pretest,0,CTEs|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_DEFAULT,1604
LLM-Arena,Pretest,0,CTEs|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_ANNOTATED_SINGLE_TEST,1605
LLM-Arena,Pretest,0,CTEs|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_FULL_SUITE,1606
LLM-Arena,Pretest,0,CTEs|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_FULL_SUITE_PLUS_DEFAULT,1607
LLM-Arena,Pretest,0,CTEs|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_FULL_SUITE_PLUS_ANNOTATED,1608
LLM-Arena,narrow_down,0,Lift|MUTANT_ANNOTATED_FULL_CLASS|TEST_DEFAULT,1616
LLM-Arena,narrow_down,0,Lift|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE,1617
LLM-Arena,narrow_down,0,Lift|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_ANNOTATED,1614
LLM-Arena,narrow_down,0,Lift|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_DEFAULT,1615
LLM-Arena,narrow_down,0,Lift|MUTANT_ANNOTATED_FULL_CLASS|TEST_ANNOTATED_SINGLE_TEST,1618
LLM-Arena,narrow_down,0,Lift|MUTANT_RANDOM_SINGLE_METHOD|TEST_DEFAULT,1619
LLM-Arena,narrow_down,0,Lift|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE,1621
LLM-Arena,narrow_down,0,Lift|MUTANT_RANDOM_SINGLE_METHOD|TEST_ANNOTATED_SINGLE_TEST,1620
LLM-Arena,narrow_down,0,Lift|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_DEFAULT,1622
LLM-Arena,narrow_down,0,Lift|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_ANNOTATED,1623
LLM-Arena,narrow_down,0,CaseInsensitiveString|MUTANT_ANNOTATED_FULL_CLASS|TEST_DEFAULT,1624
LLM-Arena,narrow_down,0,CaseInsensitiveString|MUTANT_ANNOTATED_FULL_CLASS|TEST_ANNOTATED_SINGLE_TEST,1625
LLM-Arena,narrow_down,0,CaseInsensitiveString|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE,1626
LLM-Arena,narrow_down,0,CaseInsensitiveString|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_DEFAULT,1627
LLM-Arena,narrow_down,0,CaseInsensitiveString|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_ANNOTATED,1628
LLM-Arena,narrow_down,0,CaseInsensitiveString|MUTANT_RANDOM_SINGLE_METHOD|TEST_DEFAULT,1629
LLM-Arena,narrow_down,0,CaseInsensitiveString|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE,1631
LLM-Arena,narrow_down,0,CaseInsensitiveString|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_DEFAULT,1632
LLM-Arena,narrow_down,0,CaseInsensitiveString|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_ANNOTATED,1633
LLM-Arena,narrow_down,0,Complex|MUTANT_ANNOTATED_FULL_CLASS|TEST_DEFAULT,1634
LLM-Arena,narrow_down,0,Complex|MUTANT_ANNOTATED_FULL_CLASS|TEST_ANNOTATED_SINGLE_TEST,1635
LLM-Arena,narrow_down,0,Complex|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE,1636
LLM-Arena,narrow_down,0,Complex|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_DEFAULT,1637
LLM-Arena,narrow_down,0,Complex|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_ANNOTATED,1638
LLM-Arena,narrow_down,0,Complex|MUTANT_RANDOM_SINGLE_METHOD|TEST_DEFAULT,1639
LLM-Arena,narrow_down,0,Complex|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE,1641
LLM-Arena,narrow_down,0,Complex|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_DEFAULT,1642
LLM-Arena,narrow_down,0,IntHashMap|MUTANT_ANNOTATED_FULL_CLASS|TEST_DEFAULT,1644
LLM-Arena,narrow_down,0,Complex|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_ANNOTATED,1643
LLM-Arena,narrow_down,0,Complex|MUTANT_RANDOM_SINGLE_METHOD|TEST_ANNOTATED_SINGLE_TEST,1640
LLM-Arena,narrow_down,0,IntHashMap|MUTANT_ANNOTATED_FULL_CLASS|TEST_ANNOTATED_SINGLE_TEST,1645
LLM-Arena,narrow_down,0,IntHashMap|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE,1646
LLM-Arena,narrow_down,0,IntHashMap|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_DEFAULT,1647
LLM-Arena,narrow_down,0,IntHashMap|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_ANNOTATED,1648
LLM-Arena,narrow_down,0,IntHashMap|MUTANT_RANDOM_SINGLE_METHOD|TEST_DEFAULT,1649
LLM-Arena,narrow_down,0,IntHashMap|MUTANT_RANDOM_SINGLE_METHOD|TEST_ANNOTATED_SINGLE_TEST,1650
LLM-Arena,narrow_down,0,IntHashMap|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE,1651
LLM-Arena,narrow_down,0,IntHashMap|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_DEFAULT,1652
LLM-Arena,narrow_down,0,Option|MUTANT_ANNOTATED_FULL_CLASS|TEST_DEFAULT,1654
LLM-Arena,narrow_down,0,IntHashMap|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_ANNOTATED,1653
LLM-Arena,narrow_down,0,Option|MUTANT_ANNOTATED_FULL_CLASS|TEST_ANNOTATED_SINGLE_TEST,1655
LLM-Arena,narrow_down,0,Option|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE,1656
LLM-Arena,narrow_down,0,Option|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_ANNOTATED,1658
LLM-Arena,narrow_down,0,Option|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_DEFAULT,1657
LLM-Arena,narrow_down,0,Option|MUTANT_RANDOM_SINGLE_METHOD|TEST_DEFAULT,1659
LLM-Arena,narrow_down,0,Option|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE,1661
LLM-Arena,narrow_down,0,CTEs|MUTANT_ANNOTATED_FULL_CLASS|TEST_DEFAULT,1664
LLM-Arena,narrow_down,0,Option|MUTANT_RANDOM_SINGLE_METHOD|TEST_ANNOTATED_SINGLE_TEST,1660
LLM-Arena,narrow_down,0,Option|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_DEFAULT,1662
LLM-Arena,narrow_down,0,Option|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_ANNOTATED,1663
LLM-Arena,narrow_down,0,CTEs|MUTANT_ANNOTATED_FULL_CLASS|TEST_ANNOTATED_SINGLE_TEST,1665
LLM-Arena,narrow_down,0,CTEs|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE,1666
LLM-Arena,narrow_down,0,CTEs|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_DEFAULT,1667
LLM-Arena,narrow_down,0,CTEs|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_ANNOTATED,1668
LLM-Arena,narrow_down,0,CTEs|MUTANT_RANDOM_SINGLE_METHOD|TEST_DEFAULT,1669
LLM-Arena,narrow_down,0,CTEs|MUTANT_RANDOM_SINGLE_METHOD|TEST_ANNOTATED_SINGLE_TEST,1670
LLM-Arena,narrow_down,0,CTEs|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE,1671
LLM-Arena,narrow_down,0,CTEs|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_DEFAULT,1672
LLM-Arena,narrow_down,0,CTEs|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_ANNOTATED,1673
LLM-Arena,narrow_further_down,0,Lift|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_ANNOTATED_SINGLE_TEST,1674
LLM-Arena,narrow_further_down,0,Lift|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_DEFAULT,1675
LLM-Arena,narrow_further_down,0,Lift|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_DEFAULT,1677
