Conversation_ID,Strategy,Type,Game_ID,User_ID,Mutant_ID,Test_ID,Is_Active,Is_Success
17765,TEST_ANNOTATED_SINGLE_TEST,DEFEND_DEFAULT,1454,6,,15015,0,1
17766,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_DEFAULT,1455,6,,,0,0
17767,TEST_DEFAULT,DEFEND_FOCUS,1453,6,,15016,0,1
17768,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1454,5,6639,,0,1
17769,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1455,5,6638,,0,1
17770,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1457,5,6641,,0,1
17771,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,1457,6,,15018,0,1
17772,TEST_ANNOTATED_SINGLE_TEST,DEFEND_DEFAULT,1454,6,,15023,0,1
17773,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1457,5,,,0,1
17774,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1456,5,6640,,0,1
17775,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1453,5,,,0,0
17776,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,15011,0,1
17777,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_DEFAULT,1455,6,,15022,0,1
17778,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1455,5,6642,,0,1
17779,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1454,5,6643,,0,1
17780,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1453,5,,,0,1
17781,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1456,5,,,0,1
17782,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_FOCUS,1457,6,,15025,0,1
17783,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1456,5,,,0,1
17784,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1457,5,6644,,0,1
17785,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,15020,0,1
17786,TEST_FULL_SUITE,DEFEND_DEFAULT,1456,6,,,0,1
17787,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1453,5,,,0,0
17788,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,,0,1
17789,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1456,5,,,0,0
17790,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1455,5,,,0,1
17791,TEST_DEFAULT,DEFEND_DEFAULT,1453,6,,15039,0,1
17792,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_DEFAULT,1455,6,,15037,0,1
17793,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1454,5,6645,,0,1
17794,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,15028,0,1
17795,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,1457,6,,15041,0,1
17796,TEST_ANNOTATED_SINGLE_TEST,DEFEND_DEFAULT,1454,6,,,0,0
17797,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1455,5,,,0,0
17798,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,15032,0,1
17799,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1453,5,6648,,0,1
17800,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1456,5,6646,,0,1
17801,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1455,5,6647,,0,1
17802,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,15038,0,1
17803,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1457,5,,,0,1
17804,TEST_DEFAULT,DEFEND_DEFAULT,1453,6,,15045,0,1
17805,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1454,5,,,0,1
17806,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_DEFAULT,1455,6,,,1,0
17807,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1456,5,,,1,0
17808,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1457,5,,,0,1
17809,TEST_ANNOTATED_SINGLE_TEST,DEFEND_DEFAULT,1454,6,,,1,0
17810,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1454,5,,,0,0
17811,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,1458,5,,,0,1
17812,TEST_DEFAULT,DEFEND_DEFAULT,1458,6,,,1,0
17813,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,1458,5,6649,,0,1
17814,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,1459,5,,,0,1
17815,TEST_ANNOTATED_SINGLE_TEST,DEFEND_DEFAULT,1459,6,,15049,0,1
17816,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,1459,5,6650,,0,1
17817,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,1458,5,,,0,1
17818,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,1458,5,6651,,0,1
17819,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,1459,5,,,0,1
17820,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,1459,5,6653,,0,1
17821,TEST_ANNOTATED_SINGLE_TEST,DEFEND_DEFAULT,1459,6,,15055,0,1
17822,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,1460,5,,,0,1
17823,TEST_FULL_SUITE,DEFEND_DEFAULT,1460,6,,,0,1
17824,TEST_DEFAULT,DEFEND_FOCUS,1458,6,,15051,0,1
17825,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,1460,5,6652,,0,1
17826,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1455,5,,,0,1
17827,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,15042,1,0
17828,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1460,6,,,0,1
17829,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1460,6,,15053,0,1
17830,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,1460,5,,,0,1
17831,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,1460,5,6654,,0,1
17832,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,1459,5,,,0,1
17833,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,1459,5,6656,,0,1
17834,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1460,6,,15054,0,1
17835,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1453,5,,,0,1
17836,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1455,5,,,0,1
17837,TEST_DEFAULT,DEFEND_FOCUS,1458,6,,15059,0,1
17838,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,1458,5,,,0,1
17839,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,1458,5,6655,,0,1
17840,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,1460,5,,,0,1
17841,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,1460,5,6658,,0,1
17842,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1460,6,,15058,0,1
17843,TEST_ANNOTATED_SINGLE_TEST,DEFEND_DEFAULT,1459,6,,15060,0,1
17844,TEST_DEFAULT,DEFEND_FOCUS,1458,6,,15062,0,1
17845,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,1459,5,,,0,1
17846,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,1459,5,6659,,0,1
17847,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,1458,5,,,0,1
17848,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,1458,5,6660,,0,1
17849,TEST_ANNOTATED_SINGLE_TEST,DEFEND_DEFAULT,1459,6,,,0,0
17850,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,1459,5,,,0,1
17851,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1460,6,,15061,0,1
17852,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,1459,5,6663,,0,1
17853,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,1460,5,,,0,1
